medal,beer,brewery,city,state,style,year,coords,lat,lng,comp
Silver,Sharp's,"Miller Brewing Co.",Milwaukee,WI,"Non-Alcoholic (Beer) Malt Beverage",2005,"-87.9673 43.0642",43.0642,-87.9673,GABF
Bronze,O'Doul's,"Anheuser-Busch, Inc","Saint Louis",MO,"Non-Alcoholic (Beer) Malt Beverage",2005,,,,GABF
Gold,Nemesis,"Big Time Brewing Co.",Seattle,WA,"Old Ale/Strong Ale",2005,"-122.3244 47.6211",47.6211,-122.3244,GABF
Silver,"Triple Exultation","Eel River Brewing Co.",Fortuna,CA,"Old Ale/Strong Ale",2005,"-124.1424 40.586",40.586,-124.1424,GABF
Bronze,"Shorty's Revenge","E.J. Phair Brewing Co.",Concord,CA,"Old Ale/Strong Ale",2005,"-122.0016 37.9722",37.9722,-122.0016,GABF
Gold,"Wheat Wine","Smuttynose Brewing Co.",Portsmouth,NH,"Other Strong Ale or Lager",2005,"-70.7826 43.058",43.058,-70.7826,GABF
Silver,"Double Bastard Ale","Stone Brewing Co.","San Marcos",CA,"Other Strong Ale or Lager",2005,"-117.1743 33.135",33.135,-117.1743,GABF
Bronze,"El Robusto Porter","Papago Brewing Co.",Scottsdale,AZ,"Other Strong Ale or Lager",2005,"-111.8651 33.6872",33.6872,-111.8651,GABF
Gold,"Black Sand Porter","Kona Brewery LLC",Kailua-Kona,HI,"Robust Porter",2005,,,,GABF
Silver,Porter,"Snipes Mountain Brewing Co.",Sunnyside,WA,"Robust Porter",2005,"-120.0058 46.3159",46.3159,-120.0058,GABF
Bronze,"3 Threads Porter","Far West Brewing Co.",Redmond,WA,"Robust Porter",2005,"-122.1169 47.6762",47.6762,-122.1169,GABF
Gold,"Rocky Mountain Rye","Smuggler's Brewpub",Telluride,CO,"Rye Beer",2005,"-107.8264 37.9365",37.9365,-107.8264,GABF
Silver,"Crazy Jackass Ale","Great American Restaurants",Centreville,VA,"Rye Beer",2005,"-77.4388 38.8391",38.8391,-77.4388,GABF
Bronze,"Catch Her In the Rye","Olde Auburn Ale House",Auburn,AL,"Rye Beer",2005,"-85.4899 32.6087",32.6087,-85.4899,GABF
Gold,"Royal Oak Red","Royal Oak Brewery (The)","Royal Oak",MI,"Scottish-Style Ale",2005,"-83.1539 42.5084",42.5084,-83.1539,GABF
Silver,"MacPelican's Scottish Style Ale","Pelican Pub & Brewery","Pacific City",OR,"Scottish-Style Ale",2005,"-123.9536 45.2054",45.2054,-123.9536,GABF
Bronze,"Laughing Lab Scottish Ale","Bristol Brewing Co.","Colorado Springs",CO,"Scottish-Style Ale",2005,"-104.7606 38.8674",38.8674,-104.7606,GABF
Gold,"Alaskan Smoked Porter","Alaskan Brewing and Bottling Co.",Juneau,AK,"Smoke-Flavored Beer",2005,"-134.1739 58.4546",58.4546,-134.1739,GABF
Silver,"Second Hand Smoke","Sandlot Brewery at Coors Field",Denver,CO,"Smoke-Flavored Beer",2005,"-104.8759 39.7621",39.7621,-104.8759,GABF
Bronze,"Rauchator Dopplebock","Fort Collins Brewery (The)","Fort Collins",CO,"Smoke-Flavored Beer",2005,"-105.0651 40.5475",40.5475,-105.0651,GABF
Gold,"Top Heavy","Piece Brewery",Chicago,IL,"South German-Style Hefeweizen/Hefeweissbier",2005,"-87.6862 41.8373",41.8373,-87.6862,GABF
Silver,"Weathervane Weissbier","Jarre Creek Ranch Brewery","Castle Rock",CO,"South German-Style Hefeweizen/Hefeweissbier",2005,"-104.8535 39.3762",39.3762,-104.8535,GABF
Bronze,"Wild Pitch Hefeweizen","Sandlot Brewery at Coors Field",Denver,CO,"South German-Style Hefeweizen/Hefeweissbier",2005,"-104.8759 39.7621",39.7621,-104.8759,GABF
Gold,"Wild Rice Ale","Black Diamond Brewing Co.",Concord,CA,"Specialty Beer",2005,"-122.0016 37.9722",37.9722,-122.0016,GABF
Silver,"Neptune's Nemesis","Rocky River Brewing Co.","Rocky River",OH,"Specialty Beer",2005,"-81.8526 41.4703",41.4703,-81.8526,GABF
Bronze,"Pullman Brown Ale","Flossmoor Station Brewing Co.",Flossmoor,IL,"Specialty Beer",2005,"-87.6857 41.5391",41.5391,-87.6857,GABF
Gold,"George's Fault","Nodding Heading Brewing Co.",Philadelphia,PA,"Specialty Honey Lager or Ale",2005,"-75.1339 40.0077",40.0077,-75.1339,GABF
Silver,"Midas Touch Golden Elixir","Dogfish Head Craft Brewery",Milton,DE,"Specialty Honey Lager or Ale",2005,"-75.3104 38.7751",38.7751,-75.3104,GABF
Bronze,"Ella's Epidur-Ale","Flossmoor Station Brewing Co.",Flossmoor,IL,"Specialty Honey Lager or Ale",2005,"-87.6857 41.5391",41.5391,-87.6857,GABF
Gold,"High Road Scotch Ale","Walking Man Brewing",Stevenson,WA,"Strong Scotch Ale",2005,"-121.8932 45.6944",45.6944,-121.8932,GABF
Silver,"Wee Heavy","AleSmith Brewing Co.","San Diego",CA,"Strong Scotch Ale",2005,"-117.1225 32.8312",32.8312,-117.1225,GABF
Bronze,"Caber Tossed Wee Heavy","Oggi's Pizza & Brewing Co.","San Clemente",CA,"Strong Scotch Ale",2005,"-117.6103 33.4498",33.4498,-117.6103,GABF
Gold,"Rocktoberfest 2","Rock Bottom Brewery - Long Beach","Long Beach",CA,"Vienna-Style Lager",2005,"-118.1675 33.798",33.798,-118.1675,GABF
Silver,"Genesee Red Lager","High Falls Brewing Co.",Rochester,NY,"Vienna-Style Lager",2005,"-77.6162 43.168",43.168,-77.6162,GABF
Bronze,"Schild Brau Amber","Millstream Brewing Co.",Amana,IA,"Vienna-Style Lager",2005,"-91.8741 41.8025",41.8025,-91.8741,GABF
Gold,"Cherry Stout","New Glarus Brewing Co.","New Glarus",WI,"Wood- and Barrel-aged Beer",2005,"-89.6337 42.813",42.813,-89.6337,GABF
Silver,"A Butt of Gibraltar","Rock Bottom Brewery - South Denver",Englewood,CO,"Wood- and Barrel-aged Beer",2005,"-104.9942 39.6468",39.6468,-104.9942,GABF
Bronze,Hout,"Ballast Point Brewing Co.","San Diego",CA,"Wood- and Barrel-aged Beer",2005,"-117.1225 32.8312",32.8312,-117.1225,GABF
Gold,Lovely,"Bend Brewing Co.",Bend,OR,"Aged Beer",2013,"-121.3087 44.0562",44.0562,-121.3087,GABF
Silver,"2009 Big Black Voodoo Daddy","Voodoo Brewery",Meadville,PA,"Aged Beer",2013,"-80.1468 41.6476",41.6476,-80.1468,GABF
Bronze,"COLOSSAL ONE","Port City Brewing Co.",Alexandria,VA,"Aged Beer",2013,"-77.0861 38.8185",38.8185,-77.0861,GABF
Gold,"BrickStone Belgo-APA","BrickStone Brewery",Bourbonnais,IL,"American-Belgo-Style Ale",2013,"-87.8781 41.1831",41.1831,-87.8781,GABF
Silver,"Belgo Hoptologist","Knee Deep Brewing Co.",Lincoln,CA,"American-Belgo-Style Ale",2013,"-121.2916 38.8759",38.8759,-121.2916,GABF
Bronze,"Little Green","Flat Tail Brewing Co.",Corvallis,OR,"American-Belgo-Style Ale",2013,"-123.2781 44.5696",44.5696,-123.2781,GABF
Gold,"Rod's Steam Bitter","Second Street Brewery","Santa Fe",NM,"American-Style Amber Lager",2013,"-105.9819 35.6619",35.6619,-105.9819,GABF
Silver,OktoberFish,"Flying Fish Brewing Co.",Somerdale,NJ,"American-Style Amber Lager",2013,"-75.0218 39.8454",39.8454,-75.0218,GABF
Bronze,"Schell's Oktoberfest","August Schell Brewing Co.","New Ulm",MN,"American-Style Amber Lager",2013,"-94.468 44.3119",44.3119,-94.468,GABF
Gold,"Prohibition Ale","Speakeasy Ales & Lagers","San Francisco",CA,"American-Style Amber/Red Ale",2013,"-122.443 37.7562",37.7562,-122.443,GABF
Bronze,"Red Rock","Triple Rock Brewery",Berkeley,CA,"American-Style Amber/Red Ale",2013,"-122.276 37.8723",37.8723,-122.276,GABF
Gold,"Wookey Jack","Firestone Walker Brewing Co.","Paso Robles",CA,"American-Style Black Ale",2013,,,,GABF
Silver,"Black Sails","Coronado Brewing Company Brewpub",Coronado,CA,"American-Style Black Ale",2013,"-117.16 32.664",32.664,-117.16,GABF
Bronze,Oxymoron,"Oceanside Ale Works",Oceanside,CA,"American-Style Black Ale",2013,"-117.3083 33.2247",33.2247,-117.3083,GABF
Gold,Serenity,"Wicked Weed Brewing",Asheville,NC,"American-Style Brett Beer",2013,"-82.5537 35.5704",35.5704,-82.5537,GABF
Silver,Sanctification,"Russian River Brewing Co.","Santa Rosa",CA,"American-Style Brett Beer",2013,"-122.7067 38.4458",38.4458,-122.7067,GABF
Bronze,HopSavant,"Crooked Stave Artisan Beer Project",Denver,CO,"American-Style Brett Beer",2013,"-104.8759 39.7621",39.7621,-104.8759,GABF
Gold,"Davy Brown Ale","Figueroa Mountain Brewing Co. - Buellton",Buellton,CA,"American-Style Brown Ale",2013,"-120.1943 34.6152",34.6152,-120.1943,GABF
Silver,"End Of The Trail Brown Ale","Blue Corn Brewery","Santa Fe",NM,"American-Style Brown Ale",2013,"-105.9819 35.6619",35.6619,-105.9819,GABF
Bronze,"Doryman's Dark Ale","Pelican Brewing Co.","Pacific City",OR,"American-Style Brown Ale",2013,"-123.9536 45.2054",45.2054,-123.9536,GABF
Gold,"Natural Ice",Anheuser-Busch,"St. Louis",MO,"American-Style Cream Ale",2013,"-90.2451 38.6358",38.6358,-90.2451,GABF
Silver,"Old Style","Pabst Brewing Co.","Los Angeles",CA,"American-Style Cream Ale",2013,"-118.4068 34.1139",34.1139,-118.4068,GABF
Bronze,Rainier,"Pabst Brewing Co.","Los Angeles",CA,"American-Style Cream Ale",2013,"-118.4068 34.1139",34.1139,-118.4068,GABF
Gold,"Old Virginia Dark","Devils Backbone Brewing Co. - Basecamp",Roseland,VA,"American-Style Dark Lager",2013,,,,GABF
Silver,"Leinenkugel's Creamy Dark","Jacob Leinenkugel Brewing Co.","Chippewa Falls",WI,"American-Style Dark Lager",2013,"-91.3902 44.9359",44.9359,-91.3902,GABF
Bronze,"Black Diamond","Bend Brewing Co.",Bend,OR,"American-Style Dark Lager",2013,"-121.3087 44.0562",44.0562,-121.3087,GABF
Gold,"Pallet Jack IPA","Barley Brown's Brew Pub","Baker City",OR,"American-Style India Pale Ale",2013,"-117.832 44.7749",44.7749,-117.832,GABF
Silver,"Union Jack","Firestone Walker Brewing Co.","Paso Robles",CA,"American-Style India Pale Ale",2013,,,,GABF
Bronze,"Project Dank: Operation Pharoah's Return","La Cumbre Brewing Co.",Albuquerque,NM,"American-Style India Pale Ale",2013,"-106.6464 35.1053",35.1053,-106.6464,GABF
Gold,"Budweiser Select",Anheuser-Busch,"St. Louis",MO,"American-Style Lager or Light Lager",2013,"-90.2451 38.6358",38.6358,-90.2451,GABF
Silver,"Miller High Life","Miller Brewing Co.",Milwaukee,WI,"American-Style Lager or Light Lager",2013,"-87.9673 43.0642",43.0642,-87.9673,GABF
Bronze,"Special Export","Pabst Brewing Co.","Los Angeles",CA,"American-Style Lager or Light Lager",2013,"-118.4068 34.1139",34.1139,-118.4068,GABF
Silver,"Gold Leaf Lager","Devils Backbone Brewing Co. - Basecamp",Roseland,VA,"American-Style or International-Style Pilsener",2013,,,,GABF
Bronze,"Gold Country Pilsner","Auburn Alehouse",Auburn,CA,"American-Style or International-Style Pilsener",2013,"-121.0777 38.895",38.895,-121.0777,GABF
Gold,"Lumberyard American Pale Ale","Lumberyard Brewing Co.",Flagstaff,AZ,"American-Style Pale Ale",2013,"-111.6195 35.1872",35.1872,-111.6195,GABF
Silver,"Featherweight Pale","Cannonball Creek Brewing Co.",Golden,CO,"American-Style Pale Ale",2013,"-105.2118 39.7406",39.7406,-105.2118,GABF
Bronze,"Citra Rye Pale Ale","Joseph James Brewing Co.",Henderson,NV,"American-Style Pale Ale",2013,"-115.0362 36.0146",36.0146,-115.0362,GABF
Gold,"Ching Ching","Bend Brewing Co.",Bend,OR,"American-Style Sour Ale",2013,"-121.3087 44.0562",44.0562,-121.3087,GABF
Silver,Myrtle,"The Commons Brewery",Portland,OR,"American-Style Sour Ale",2013,"-122.65 45.5371",45.5371,-122.65,GABF
Bronze,"Red Poppy","The Lost Abbey","San Marcos",CA,"American-Style Sour Ale",2013,"-117.1743 33.135",33.135,-117.1743,GABF
Gold,"Kilgore Stout","Beachwood BBQ & Brewing","Long Beach",CA,"American-Style Stout",2013,"-118.1675 33.798",33.798,-118.1675,GABF
Silver,"Battlecat Stout","Cannonball Creek Brewing Co.",Golden,CO,"American-Style Stout",2013,"-105.2118 39.7406",39.7406,-105.2118,GABF
Bronze,"Stumpy Ridge Stout","Black Tooth Brewing Co.",Sheridan,WY,"American-Style Stout",2013,"-106.9643 44.7962",44.7962,-106.9643,GABF
Gold,Bonobos,"Monkey Paw Brewing Co.","San Diego",CA,"American-Style Strong Pale Ale",2013,"-117.1225 32.8312",32.8312,-117.1225,GABF
Silver,"Hop Knot","Four Peaks Brewing Co.",Tempe,AZ,"American-Style Strong Pale Ale",2013,"-111.9318 33.3881",33.3881,-111.9318,GABF
Bronze,"Kung Fu Elvis","Pizza Port Ocean Beach","Ocean Beach",CA,"American-Style Strong Pale Ale",2013,,,,GABF
Gold,"Shredders Wheat","Baker City Brewing Co.","Baker City",OR,"American-Style Wheat Beer",2013,"-117.832 44.7749",44.7749,-117.832,GABF
Silver,"American Wheat","Gella's Diner & Lb. Brewing Co.",Hays,KS,"American-Style Wheat Beer",2013,"-99.3219 38.8816",38.8816,-99.3219,GABF
Bronze,"Super 77 Wheat","Wiley Roots Brewing Co.",Greeley,CO,"American-Style Wheat Beer",2013,"-104.7705 40.4151",40.4151,-104.7705,GABF
Gold,"American Hefeweizen","Gella's Diner & Lb. Brewing Co.",Hays,KS,"American-Style Wheat Beer With Yeast",2013,"-99.3219 38.8816",38.8816,-99.3219,GABF
Silver,Wheatfish,"Great Northern Brewing Co.",Whitefish,MT,"American-Style Wheat Beer With Yeast",2013,"-114.3593 48.4333",48.4333,-114.3593,GABF
Bronze,"Helio Hefeweizen","Red Lodge Ales Brewing Co.","Red Lodge",MT,"American-Style Wheat Beer With Yeast",2013,"-109.2501 45.1933",45.1933,-109.2501,GABF
Gold,"Black Eagle Baltic Porter","Black Tooth Brewing Co.",Sheridan,WY,"Baltic-Style Porter",2013,"-106.9643 44.7962",44.7962,-106.9643,GABF
Silver,"The Hammer","Rock Bottom Brewery",Broomfield,CO,"Baltic-Style Porter",2013,"-105.0527 39.9541",39.9541,-105.0527,GABF
Bronze,Danzig,"Devils Backbone Brewing Co. - Basecamp",Roseland,VA,"Baltic-Style Porter",2013,,,,GABF
Gold,"AleSmith Old Numbskull","AleSmith Brewing Co.","San Diego",CA,"Barley Wine-Style Ale",2013,"-117.1225 32.8312",32.8312,-117.1225,GABF
Silver,"Old Bounder","Boundary Bay Brewery",Bellingham,WA,"Barley Wine-Style Ale",2013,"-122.4687 48.7543",48.7543,-122.4687,GABF
Bronze,"Release the Hounds Barley Wine","Bull & Bush Brewery",Denver,CO,"Barley Wine-Style Ale",2013,"-104.8759 39.7621",39.7621,-104.8759,GABF
Gold,Azreal,"Devils Backbone Brewing Co. - Outpost",Lexington,VA,"Belgian- and French-Style Ale",2013,"-79.444 37.7825",37.7825,-79.444,GABF
Silver,Grisette,"Sly Fox Brewing Co.",Pottstown,PA,"Belgian- and French-Style Ale",2013,"-75.6444 40.2507",40.2507,-75.6444,GABF
Bronze,"California Ale","Telegraph Brewing Co.","Santa Barbara",CA,"Belgian- and French-Style Ale",2013,"-119.7202 34.4285",34.4285,-119.7202,GABF
Gold,"Cedar Creek Belgian Style Dubbel","Cedar Creek Brewery","Seven Points",TX,"Belgian-Style Abbey Ale",2013,"-96.2142 32.3291",32.3291,-96.2142,GABF
Silver,"AleSmith Decadence 2012 Quadrupel","AleSmith Brewing Co.","San Diego",CA,"Belgian-Style Abbey Ale",2013,"-117.1225 32.8312",32.8312,-117.1225,GABF
Bronze,"Ommegang Three Philosophers","Brewery Ommegang",Cooperstown,NY,"Belgian-Style Abbey Ale",2013,"-74.93 42.6996",42.6996,-74.93,GABF
Gold,"American Blackberry Sour Ale","New Glarus Brewing Co.","New Glarus",WI,"Belgian-Style Lambic or Sour Ale",2013,"-89.6337 42.813",42.813,-89.6337,GABF
Silver,"Squatters Fifth Element","Squatters and Wasatch Beers","Salt Lake City",UT,"Belgian-Style Lambic or Sour Ale",2013,"-111.93 40.7774",40.7774,-111.93,GABF
Bronze,"Atrial Rubicite","Jester King Brewery",Austin,TX,"Belgian-Style Lambic or Sour Ale",2013,"-97.7517 30.3006",30.3006,-97.7517,GABF
Gold,"Stumblin' Monk","Stewart's Brewing Co.",Bear,DE,"Belgian-Style Strong Specialty Ale",2013,"-75.6804 39.6188",39.6188,-75.6804,GABF
Silver,"Quad Damn It","Chicago Brewing Co.","Las Vegas",NV,"Belgian-Style Strong Specialty Ale",2013,"-115.2654 36.2333",36.2333,-115.2654,GABF
Bronze,"The Twelve - Belgian Quad","Black Diamond Brewing Co.",Concord,CA,"Belgian-Style Strong Specialty Ale",2013,"-122.0016 37.9722",37.9722,-122.0016,GABF
Gold,"Optimal Wit","Port City Brewing Co.",Alexandria,VA,"Belgian-Style Witbier",2013,"-77.0861 38.8185",38.8185,-77.0861,GABF
Silver,"Wasatch White Label","Utah Brewers Co-op","Salt Lake City",UT,"Belgian-Style Witbier",2013,"-111.93 40.7774",40.7774,-111.93,GABF
Bronze,ZON,"Boulevard Brewing Co.","Kansas City",MO,"Belgian-Style Witbier",2013,"-94.5541 39.1239",39.1239,-94.5541,GABF
Gold,"Troegenator Double Bock","Tröegs Brewing Co.",Hershey,PA,Bock,2013,"-76.6458 40.2806",40.2806,-76.6458,GABF
Silver,Andygator,"Abita Brewing Co.","Abita Springs",LA,Bock,2013,"-90.0292 30.4761",30.4761,-90.0292,GABF
Bronze,"Goat Rancher",SandLot,Denver,CO,Bock,2013,"-104.8759 39.7621",39.7621,-104.8759,GABF
Gold,"Bohemian Pilsner","Ninkasi Brewing Co.",Eugene,OR,"Bohemian-Style Pilsener",2013,"-123.1173 44.0563",44.0563,-123.1173,GABF
Silver,"Czech Pilsner","Gordon Biersch Brewery Restaurant - Rockville, MD",Broomfield,CO,"Bohemian-Style Pilsener",2013,"-105.0527 39.9541",39.9541,-105.0527,GABF
Bronze,"Bohemian Pilsner","Mother Earth Brewing",Kinston,NC,"Bohemian-Style Pilsener",2013,"-77.5937 35.2748",35.2748,-77.5937,GABF
Gold,"Old Tom Porter","Piney River Brewing Co.",Bucyrus,MO,"Brown Porter",2013,,,,GABF
Silver,"St. Charles Porter","Blackstone Brewing Co.",Nashville,TN,"Brown Porter",2013,"-86.7843 36.1715",36.1715,-86.7843,GABF
Bronze,"Blind Jake","Pinthouse Pizza",Austin,TX,"Brown Porter",2013,"-97.7517 30.3006",30.3006,-97.7517,GABF
Gold,"Chocolate Oak Aged Yeti Imperial Stout","Great Divide Brewing Co.",Denver,CO,"Chocolate Beer",2013,"-104.8759 39.7621",39.7621,-104.8759,GABF
Silver,"The Fix","Elysian Brewing Co.",Seattle,WA,"Chocolate Beer",2013,"-122.3244 47.6211",47.6211,-122.3244,GABF
Bronze,"Chocolate Meltdown","Pennsylvania Brewing Co.",Pittsburgh,PA,"Chocolate Beer",2013,"-79.9763 40.4396",40.4396,-79.9763,GABF
Gold,"5 Barrel Pale Ale","Odell Brewing Co.","Fort Collins",CO,"Classic English-Style Pale Ale",2013,"-105.0651 40.5475",40.5475,-105.0651,GABF
Silver,"Extra Pale Summer Ale","Dry Dock Brewing Co. - North Dock",Aurora,CO,"Classic English-Style Pale Ale",2013,"-104.7274 39.7084",39.7084,-104.7274,GABF
Bronze,"Breakside ESB","Breakside Brewery - Pub Brewery",Portland,OR,"Classic English-Style Pale Ale",2013,"-122.65 45.5371",45.5371,-122.65,GABF
Gold,"Blarney Sisters Dry Irish Stout","Third Street Aleworks","Santa Rosa",CA,"Classic Irish-Style Dry Stout",2013,"-122.7067 38.4458",38.4458,-122.7067,GABF
Silver,"Stearns Stout","Figueroa Mountain Brewing Co. - Santa Barbara","Santa Barbara",CA,"Classic Irish-Style Dry Stout",2013,"-119.7202 34.4285",34.4285,-119.7202,GABF
Bronze,"Dragoon's Dry Irish Stout","Moylan's Brewing Co.",Novato,CA,"Classic Irish-Style Dry Stout",2013,"-122.5576 38.092",38.092,-122.5576,GABF
Gold,"Panama Joe's Coffee Stout","Il Vicino Brewing Co.",Albuquerque,NM,"Coffee Beer",2013,"-106.6464 35.1053",35.1053,-106.6464,GABF
Silver,"Barrel-Aged Sump Coffee Stout","Perennial Artisan Ales","St. Louis",MO,"Coffee Beer",2013,"-90.2451 38.6358",38.6358,-90.2451,GABF
Bronze,"System of a Stout","Beachwood BBQ & Brewing","Long Beach",CA,"Coffee Beer",2013,"-118.1675 33.798",33.798,-118.1675,GABF
Gold,"Move Back",SandLot,Denver,CO,"Dortmunder or German-Style Oktoberfest",2013,"-104.8759 39.7621",39.7621,-104.8759,GABF
Silver,Oktoberfest,"Figueroa Mountain Brewing Co. - Santa Barbara","Santa Barbara",CA,"Dortmunder or German-Style Oktoberfest",2013,"-119.7202 34.4285",34.4285,-119.7202,GABF
Bronze,"Thunder from Dortmunder","Marble Brewery",Albuquerque,NM,"Dortmunder or German-Style Oktoberfest",2013,"-106.6464 35.1053",35.1053,-106.6464,GABF
Gold,"Bandit Brown","City Star Brewing",Berthoud,CO,"English-Style Brown Ale",2013,"-105.0404 40.3061",40.3061,-105.0404,GABF
Silver,"Sierra Blanca Nut Brown Ale","Sierra Blanca Brewing Co.",Moriarty,NM,"English-Style Brown Ale",2013,"-106.046 35.0052",35.0052,-106.046,GABF
Bronze,"Longboard Brown","Rock Bottom Brewery",Broomfield,CO,"English-Style Brown Ale",2013,"-105.0527 39.9541",39.9541,-105.0527,GABF
Gold,"Taproom IPA","Firestone Walker Brewing Co.","Paso Robles",CA,"English-Style India Pale Ale",2013,,,,GABF
Silver,"Silverspot IPA","Pelican Brewing Co.","Pacific City",OR,"English-Style India Pale Ale",2013,"-123.9536 45.2054",45.2054,-123.9536,GABF
Bronze,"Enterprise IPA","Dry Dock Brewing Co. - North Dock",Aurora,CO,"English-Style India Pale Ale",2013,"-104.7274 39.7084",39.7084,-104.7274,GABF
Gold,"S.S. Minnow Mild","Dry Dock Brewing Co. - South Dock",Aurora,CO,"English-Style Mild Ale",2013,"-104.7274 39.7084",39.7084,-104.7274,GABF
Silver,Brawler,"Yards Brewing Co.",Philadelphia,PA,"English-Style Mild Ale",2013,"-75.1339 40.0077",40.0077,-75.1339,GABF
Bronze,"Ale of Fergus","Devils Backbone Brewing Co. - Basecamp",Roseland,VA,"English-Style Mild Ale",2013,,,,GABF
Gold,"True Blonde Ale","Ska Brewing",Durango,CO,"English-Style Summer Ale",2013,"-107.8703 37.2744",37.2744,-107.8703,GABF
Silver,"Hanging Lake","Glenwood Canyon Brewing Co.","Glenwood Springs",CO,"English-Style Summer Ale",2013,"-107.3347 39.5455",39.5455,-107.3347,GABF
Bronze,Sum'r,"Uinta Brewing Co.","Salt Lake City",UT,"English-Style Summer Ale",2013,"-111.93 40.7774",40.7774,-111.93,GABF
Gold,"Munich Dunkel","Carver Brewing Co.",Durango,CO,"European-Style Dunkel",2013,"-107.8703 37.2744",37.2744,-107.8703,GABF
Silver,"Heart of Darkness Dunkel","Springfield Brewing Co.",Springfield,MO,"European-Style Dunkel",2013,"-93.2915 37.1943",37.1943,-93.2915,GABF
Bronze,"The Fearless Youth","Grimm Brothers Brewhouse",Loveland,CO,"European-Style Dunkel",2013,"-105.0622 40.4167",40.4167,-105.0622,GABF
Gold,"Hops n' Roses","Captain Lawrence Brewing Co.",Elmsford,NY,"Experimental Beer",2013,"-73.8143 41.0541",41.0541,-73.8143,GABF
Silver,"Dragon's Milk Reserve - Smaug's Breath","New Holland Brewing Co.",Holland,MI,"Experimental Beer",2013,"-86.0984 42.7677",42.7677,-86.0984,GABF
Bronze,"Redrock Paardebloem","Redrock Brewery","Salt Lake City",UT,"Experimental Beer",2013,"-111.93 40.7774",40.7774,-111.93,GABF
Gold,"Public Ale","Community Beer Co.",Dallas,TX,"Extra Special Bitter",2013,"-96.7662 32.7936",32.7936,-96.7662,GABF
Silver,"True Brit IPA","Summit Brewing Co.","Saint Paul",MN,"Extra Special Bitter",2013,,,,GABF
Bronze,"Fed, White & Brew","American Brewing Co.",Edmonds,WA,"Extra Special Bitter",2013,"-122.3533 47.8114",47.8114,-122.3533,GABF
Gold,"Elektrick Cukumbahh","Trinity Brewing Co.","Colorado Springs",CO,"Field Beer or Pumpkin Beer",2013,"-104.7606 38.8674",38.8674,-104.7606,GABF
